lon,lat,temperature_2m,precipitation,cloud_cover,wind_speed_10m,last_updated
4.76,47.74,17.6,0.0,4,0.82,2026-09-23T18:47:31Z
4.8,47.74,17.4,0.0,2,0.54,2026-09-23T18:47:31Z
4.86,47.74,18.5,0.0,7,0.61,2026-09-23T18:47:31Z
4.9,47.74,18.2,0.0,13,0.51,2026-09-23T18:47:31Z
4.94,47.74,18.6,0.0,29,0.5,2026-09-23T18:47:31Z
5.0,47.74,18.1,0.0,8,0.86,2026-09-23T18:47:31Z
5.06,47.74,18.3,0.0,4,1.02,2026-09-23T18:47:31Z
5.1,47.74,17.5,0.0,1,0.85,2026-09-23T18:47:31Z
5.16,47.74,18.6,0.0,29,1.39,2026-09-23T18:47:31Z
5.2,47.74,19.2,0.0,23,1.94,2026-09-23T18:47:31Z
5.26,47.74,19.5,0.0,4,2.13,2026-09-23T18:47:31Z
5.3,47.74,19.9,0.0,8,2.0,2026-09-23T18:47:31Z
5.36,47.74,19.2,0.0,65,1.65,2026-09-23T18:47:31Z
5.4,47.74,18.2,0.0,75,1.71,2026-09-23T18:47:31Z
5.44,47.74,17.8,0.0,75,1.24,2026-09-23T18:47:31Z
5.5,47.74,17.7,0.0,75,1.14,2026-09-23T18:47:31Z
5.56,47.74,17.9,0.0,75,0.58,2026-09-23T18:47:31Z
5.6,47.74,17.8,0.0,75,0.57,2026-09-23T18:47:31Z
5.66,47.74,17.8,0.0,75,1.35,2026-09-23T18:47:31Z
5.7,47.74,18.8,0.0,78,1.5,2026-09-23T18:47:31Z
5.76,47.74,18.8,0.0,70,1.88,2026-09-23T18:47:31Z
5.8,47.74,18.2,0.0,41,1.75,2026-09-23T18:47:31Z
5.86,47.74,18.3,0.0,38,0.94,2026-09-23T18:47:31Z
5.9,47.74,17.6,0.0,25,1.32,2026-09-23T18:47:31Z
5.94,47.74,17.9,0.0,8,1.73,2026-09-23T18:47:31Z
4.7,47.8,18.0,0.0,8,0.71,2026-09-23T18:47:31Z
4.76,47.8,17.5,0.0,5,0.22,2026-09-23T18:47:31Z
4.8,47.8,17.1,0.0,7,0.36,2026-09-23T18:47:31Z
4.86,47.8,17.1,0.0,6,1.17,2026-09-23T18:47:31Z
4.9,47.8,17.8,0.0,7,1.3,2026-09-23T18:47:31Z
4.94,47.8,18.1,0.0,10,1.2,2026-09-23T18:47:31Z
5.0,47.8,17.9,0.0,11,0.67,2026-09-23T18:47:31Z
5.06,47.8,18.2,0.0,12,0.61,2026-09-23T18:47:31Z
5.1,47.8,18.0,0.0,13,1.08,2026-09-23T18:47:31Z
5.16,47.8,18.3,0.0,7,1.3,2026-09-23T18:47:31Z
5.2,47.8,18.1,0.0,7,1.8,2026-09-23T18:47:31Z
5.26,47.8,18.4,0.0,27,2.68,2026-09-23T18:47:31Z
5.3,47.8,18.8,0.0,4,2.88,2026-09-23T18:47:31Z
5.36,47.8,18.5,0.0,75,2.52,2026-09-23T18:47:31Z
5.4,47.8,18.6,0.0,75,2.64,2026-09-23T18:47:31Z
5.44,47.8,18.6,0.0,75,1.61,2026-09-23T18:47:31Z
5.5,47.8,18.2,0.0,75,1.12,2026-09-23T18:47:31Z
5.56,47.8,17.8,0.0,75,0.92,2026-09-23T18:47:31Z
5.6,47.8,17.4,0.0,75,1.02,2026-09-23T18:47:31Z
5.66,47.8,17.9,0.0,75,1.22,2026-09-23T18:47:31Z
5.7,47.8,17.8,0.0,67,1.79,2026-09-23T18:47:31Z
5.76,47.8,16.8,0.0,47,1.8,2026-09-23T18:47:31Z
5.8,47.8,16.4,0.0,30,1.61,2026-09-23T18:47:31Z
5.86,47.8,16.7,0.0,21,1.71,2026-09-23T18:47:31Z
5.9,47.8,15.8,0.0,54,1.12,2026-09-23T18:47:31Z
5.94,47.8,15.7,0.0,42,0.57,2026-09-23T18:47:31Z
4.7,47.84,17.7,0.0,21,0.81,2026-09-23T18:47:31Z
4.76,47.84,18.0,0.0,8,1.55,2026-09-23T18:47:31Z
4.8,47.84,17.6,0.0,8,1.3,2026-09-23T18:47:31Z
4.86,47.84,18.2,0.0,7,1.0,2026-09-23T18:47:31Z
4.9,47.84,18.2,0.0,11,0.81,2026-09-23T18:47:31Z
4.94,47.84,18.1,0.0,13,0.71,2026-09-23T18:47:31Z
5.0,47.84,18.5,0.0,12,0.78,2026-09-23T18:47:31Z
5.06,47.84,18.3,0.0,34,0.81,2026-09-23T18:47:31Z
5.1,47.84,18.0,0.0,33,0.89,2026-09-23T18:47:31Z
5.16,47.84,17.8,0.0,16,0.76,2026-09-23T18:47:31Z
5.2,47.84,17.6,0.0,12,1.12,2026-09-23T18:47:31Z
5.26,47.84,18.7,0.0,5,1.36,2026-09-23T18:47:31Z
5.3,47.84,18.7,0.0,29,1.84,2026-09-23T18:47:31Z
5.36,47.84,19.1,0.0,76,1.94,2026-09-23T18:47:31Z
5.4,47.84,19.0,0.0,75,1.63,2026-09-23T18:47:31Z
5.44,47.84,18.9,0.0,75,1.86,2026-09-23T18:47:31Z
5.5,47.84,18.3,0.0,75,1.61,2026-09-23T18:47:31Z
5.56,47.84,17.0,0.0,75,0.73,2026-09-23T18:47:31Z
5.6,47.84,16.0,0.0,75,0.81,2026-09-23T18:47:31Z
5.66,47.84,15.3,0.0,57,0.5,2026-09-23T18:47:31Z
5.7,47.84,16.0,0.0,31,1.08,2026-09-23T18:47:31Z
5.76,47.84,16.3,0.0,23,1.44,2026-09-23T18:47:31Z
5.8,47.84,16.1,0.0,37,1.2,2026-09-23T18:47:31Z
5.86,47.84,15.4,0.0,42,1.55,2026-09-23T18:47:31Z
5.9,47.84,14.9,0.0,40,1.22,2026-09-23T18:47:31Z
5.94,47.84,17.3,0.0,45,0.22,2026-09-23T18:47:31Z
4.7,47.9,19.0,0.0,64,0.61,2026-09-23T18:47:31Z
4.76,47.9,19.1,0.0,54,0.5,2026-09-23T18:47:31Z
4.8,47.9,18.4,0.0,58,0.36,2026-09-23T18:47:31Z
4.86,47.9,18.0,0.0,64,0.32,2026-09-23T18:47:31Z
4.9,47.9,18.3,0.0,75,0.1,2026-09-23T18:47:31Z
4.94,47.9,17.6,0.0,85,0.36,2026-09-23T18:47:31Z
5.0,47.9,17.7,0.0,88,0.76,2026-09-23T18:47:31Z
5.06,47.9,17.8,0.0,88,0.89,2026-09-23T18:47:31Z
5.1,47.9,18.6,0.0,87,1.2,2026-09-23T18:47:31Z
5.16,47.9,18.2,0.0,60,1.08,2026-09-23T18:47:31Z
5.2,47.9,18.6,0.0,17,0.76,2026-09-23T18:47:31Z
5.26,47.9,18.4,0.0,16,1.56,2026-09-23T18:47:31Z
5.3,47.9,18.7,0.0,73,1.36,2026-09-23T18:47:31Z
5.36,47.9,18.8,0.0,82,1.35,2026-09-23T18:47:31Z
5.4,47.9,19.0,0.0,78,1.44,2026-09-23T18:47:31Z
5.44,47.9,18.5,0.0,76,1.64,2026-09-23T18:47:31Z
5.5,47.9,18.7,0.0,75,1.78,2026-09-23T18:47:31Z
5.56,47.9,18.2,0.0,75,1.36,2026-09-23T18:47:31Z
5.6,47.9,17.4,0.0,75,1.75,2026-09-23T18:47:31Z
5.66,47.9,17.5,0.0,73,1.17,2026-09-23T18:47:31Z
5.7,47.9,18.5,0.0,75,1.33,2026-09-23T18:47:31Z
5.76,47.9,17.3,0.0,65,1.3,2026-09-23T18:47:31Z
5.8,47.9,17.2,0.0,60,1.72,2026-09-23T18:47:31Z
5.86,47.9,16.8,0.0,75,1.66,2026-09-23T18:47:31Z
5.9,47.9,17.0,0.0,81,1.49,2026-09-23T18:47:31Z
5.94,47.9,16.3,0.0,54,0.6,2026-09-23T18:47:31Z
4.7,47.96,18.3,0.0,89,1.17,2026-09-23T18:47:31Z
4.74,47.96,18.7,0.0,86,1.36,2026-09-23T18:47:31Z
4.8,47.96,18.9,0.0,89,1.04,2026-09-23T18:47:31Z
4.86,47.96,19.1,0.0,90,0.8,2026-09-23T18:47:31Z
4.9,47.96,19.0,0.0,99,0.6,2026-09-23T18:47:31Z
4.94,47.96,18.4,0.0,100,0.51,2026-09-23T18:47:31Z
5.0,47.96,18.9,0.0,100,0.67,2026-09-23T18:47:31Z
5.06,47.96,17.9,0.0,100,1.12,2026-09-23T18:47:31Z
5.1,47.96,18.2,0.0,95,0.95,2026-09-23T18:47:31Z
5.16,47.96,18.1,0.0,77,1.28,2026-09-23T18:47:31Z
5.2,47.96,18.3,0.0,43,0.98,2026-09-23T18:47:31Z
5.26,47.96,17.9,0.0,81,0.99,2026-09-23T18:47:31Z
5.3,47.96,18.2,0.0,86,1.5,2026-09-23T18:47:31Z
5.36,47.96,18.5,0.0,84,1.81,2026-09-23T18:47:31Z
5.4,47.96,18.8,0.0,68,1.93,2026-09-23T18:47:31Z
5.44,47.96,18.3,0.0,84,2.08,2026-09-23T18:47:31Z
5.5,47.96,18.4,0.0,81,1.7,2026-09-23T18:47:31Z
5.56,47.96,17.2,0.0,77,1.75,2026-09-23T18:47:31Z
5.6,47.96,17.1,0.0,77,2.09,2026-09-23T18:47:31Z
5.66,47.96,17.6,0.0,75,1.84,2026-09-23T18:47:31Z
5.7,47.96,16.7,0.0,75,1.75,2026-09-23T18:47:31Z
5.76,47.96,15.9,0.0,75,1.17,2026-09-23T18:47:31Z
5.8,47.96,16.5,0.0,75,1.17,2026-09-23T18:47:31Z
5.86,47.96,16.6,0.0,76,1.6,2026-09-23T18:47:31Z
5.9,47.96,15.6,0.0,80,1.14,2026-09-23T18:47:31Z
